Number,Sale.Date,Full Address,Bathrooms,Age,Total$,Land Area m2,Flrm2,Land$,Capital$,Brms,Pirimai,Onekawa,Marewa,Hospital Hill,Bluff Hill,flooding_status,flooding_zone
16184,16/05/2024,49 A Williams St,1,0,"$200,000",444,0,"$195,000","$195,000",0,0,0,1,0,0,0,1
16135,01/05/2024,57 Pelorus Av,1,0,"$425,000",534,0,"$440,000","$440,000",-,0,0,0,0,0,1,0
16106,24/04/2024,7 A Paradise Rd,1,0,"$300,000",689,0,"$270,000","$270,000",0,0,0,0,1,0,0,1
16079,18/04/2024,14 MOHAKA ST,1,0,"$995,000",406,0,"$365,000","$365,000",-,0,0,0,0,0,0,0
16076,17/04/2024,Pelorus Av,,RB,"$420,500",534,0,"$7,470,000","$7,470,000",0,0,0,0,0,0,0,0
16077,17/04/2024,59 Pelorus Av,1,0,"$420,500",534,0,"$440,000","$440,000",-,0,0,0,0,0,0,0
16066,16/04/2024,12 A Burness Rd,1,0,"$320,000",650,0,"$370,000","$370,000",0,0,0,0,0,0,0,0
16065,16/04/2024,21 Wai Whatu St,2,2020,"$391,304",595,0,"$380,000","$380,000",4,0,0,0,0,0,0,0
16052,12/04/2024,Pelorus Av,,RB,"$433,043",498,0,"$7,470,000","$7,470,000",0,0,0,0,0,0,1,0
16053,12/04/2024,61 Pelorus Av,1,0,"$433,043",498,0,"$435,000","$435,000",-,0,0,0,0,0,1,0
15956,15/03/2024,52 Pelorus Av,1,0,"$410,000",559,0,"$460,000","$460,000",-,0,0,0,0,0,0,0
15948,14/03/2024,5 A Hooker Av,1,0,"$167,000",377,0,"$200,000","$220,000",0,0,0,0,1,1,0,1
15908,02/03/2024,12 Burness Rd,1,0,"$325,000",500,0,"$340,000","$340,000",-,0,0,0,0,0,1,0
15897,01/03/2024,53 A Shakespeare Rd,,0,"$331,000",396,0,"$200,000","$230,000",4,0,0,0,0,1,1,1
15875,26/02/2024,36 A Carnell St,1,0,"$220,000",290,0,"$280,000","$280,000",0,0,0,0,0,0,0,0
15863,22/02/2024,52 /1 Park Rd,,0,"$280,000",281,0,"$310,000","$310,000",2,0,0,0,0,0,0,0
15850,20/02/2024,30 A Roslyn Rd,1,0,"$150,000",898,0,"$465,000","$465,000",0,0,0,0,0,0,0,0
15664,14/12/2023,5 MOHAKA ST,1,0,"$355,000",414,0,"$370,000","$370,000",-,0,0,0,0,0,0,0
15602,28/11/2023,39 Seapoint Rd,1,0,"$565,000",456,0,"$470,000","$470,000",-,0,0,0,0,0,0,0
15593,25/11/2023,12 Ridgeway Tc,,0,"$780,000",3777,0,"$600,000","$620,000",0,0,0,0,0,0,0,0
15522,8/11/2023,7 MOHAKA ST,2,0,"$315,000",412,0,"$370,000","$370,000",3,0,0,0,0,0,1,0
15504,2/11/2023,32 A Napier St,1,0,"$725,000",2733,0,"$450,000","$450,000",0,0,0,0,0,0,1,0
15496,1/11/2023,13 MOHAKA ST,1,0,"$360,000",430,0,"$300,000","$300,000",-,0,0,0,0,0,1,0
15483,30/10/2023,11 MOHAKA ST,1,0,"$360,000",407,0,"$300,000","$300,000",-,0,0,0,0,0,0,0
15484,30/10/2023,15 MOHAKA ST,1,0,"$365,000",409,0,"$300,000","$300,000",-,0,0,0,0,0,0,0
15481,29/10/2023,12 WHANGAEHU PL,1,0,"$370,000",552,0,"$285,000","$285,000",-,0,0,0,0,0,0,0
15472,25/10/2023,2 B Ridgeway Tc,,0,"$430,000",1000,0,"$390,000","$390,000",0,0,0,0,0,0,0,0
15456,18/10/2023,90 Pelorus Av,1,0,"$450,000",551,0,"$320,000","$320,000",-,0,0,0,0,0,0,0
15452,17/10/2023,67 Hunter Dr,1,0,"$450,000",665,0,"$320,000","$320,000",-,0,0,0,0,0,0,0
15414,5/10/2023,82 Pelorus Av,1,0,"$550,000",899,0,"$650,000","$650,000",-,0,0,0,0,0,1,0
15359,20/09/2023,20 MOHAKA ST,1,0,"$495,000",696,0,"$335,000","$335,000",-,0,0,0,0,0,0,0
15321,11/09/2023,88 Pelorus Av,1,0,"$450,000",543,0,"$320,000","$320,000",-,0,0,0,0,0,1,0
15315,08/09/2023,7 GEORGE YEE PL,,0,"$380,000",421,0,"$280,000","$280,000",-,0,0,0,0,0,1,0
15236,17/08/2023,11 A Randall Pl,1,0,"$250,000",626,0,"$220,000","$220,000",0,0,0,0,0,0,0,0
15201,09/08/2023,63 Wai Whatu St,1,0,"$350,000",539,0,"$295,000","$295,000",-,0,0,0,0,0,1,0
15182,04/08/2023,24 WHANGAEHU PL,1,0,"$360,000",543,0,"$280,000","$280,000",-,0,0,0,0,0,1,0
15137,25/07/2023,8 B Charles St,1,0,"$1,700,000",999,0,"$1,485,000","$1,485,000",0,0,0,0,0,0,0,0
15102,17/07/2023,65 Wai Whatu St,1,0,"$350,000",449,0,"$285,000","$285,000",-,0,0,0,0,0,0,0
15059,04/07/2023,5 A Cassino Cr,2,0,"$290,000",490,0,"$290,000","$295,000",0,1,0,0,0,0,1,1
14997,16/06/2023,Prebensen Dr,,RB,"$540,000",742,0,"$7,100,000","$7,100,000",0,0,0,0,0,0,0,0
14998,16/06/2023,4 MOHAKA ST,1,0,"$540,000",742,0,"$345,000","$345,000",-,0,0,0,0,0,0,0
14994,16/06/2023,9 Wai Whatu St,2,0,"$375,000",549,0,"$305,000","$305,000",3,0,0,0,0,0,0,0
14892,22/05/2023,6 Johns Rd,1,0,"$581,950",2501,0,"$360,000","$360,000",3,0,0,0,0,0,0,0
14886,19/05/2023,96 Oak Rd,1,0,"$902,000",1052,0,"$730,000","$730,000",-,0,0,0,0,0,0,0
14879,18/05/2023,2 B Massey Cr,1,0,"$300,000",544,0,"$165,000","$225,000",0,0,0,1,0,0,0,1
14828,03/05/2023,150 Guppy Rd,1,RB,"$330,434",550,0,"$4,550,000","$4,551,000",5,0,0,0,0,0,1,0
14777,18/04/2023,66 A Franklin Rd,1,0,"$505,000",1642,0,"$385,000","$385,000",0,0,0,0,0,0,0,0
14744,05/04/2023,150 Guppy Rd,1,RB,"$430,000",25680,0,"$4,550,000","$4,551,000",5,0,0,0,0,0,1,0
14651,09/03/2023,19 Ridgeway Tc,,0,"$200,000",3805,0,"$350,000","$350,000",0,0,0,0,0,0,1,0
14603,15/02/2023,20 WHANGAEHU PL,2,0,"$336,000",558,0,"$285,000","$285,000",3,0,0,0,0,0,0,0
14583,09/02/2023,511 Marine Pd,,0,"$500,000",241,0,"$510,000","$510,000",0,0,0,0,0,0,1,0
14563,02/02/2023,49 Wai Whatu St,2,0,"$377,000",449,0,"$285,000","$285,000",3,0,0,0,0,0,1,0
14559,31/01/2023,105 A King St,2,0,"$310,000",498,0,"$280,000","$280,000",0,0,0,0,0,0,0,0
14538,25/01/2023,65 A The Esplanade,4,0,"$463,609",385,0,"$330,000","$330,000",0,0,0,0,0,0,0,0
14539,25/01/2023,27 A Arthur Hobson Av,1,0,"$219,000",422,0,"$210,000","$210,000",0,0,0,0,0,0,0,0
14464,16/12/2022,58 A Menin Rd,1,0,"$251,000",488,0,"$310,000","$310,000",0,1,0,0,0,0,0,1
14461,15/12/2022,31 Bledisloe Rd,1,0,"$590,000",3295,0,"$550,000","$550,000",-,0,0,0,0,0,0,0
14437,12/12/2022,47 Wai Whatu St,2,0,"$375,000",490,0,"$285,000","$285,000",3,0,0,0,0,0,1,0
14425,9/12/2022,55 Wai Whatu St,2,0,"$450,000",490,0,"$285,000","$285,000",4,0,0,0,0,0,1,0
14421,8/12/2022,45 Wai Whatu St,2,0,"$327,856",491,0,"$285,000","$285,000",3,0,0,0,0,0,1,0
14346,18/11/2022,7 Thompson Rd,1,0,"$227,000",590,0,"$180,000","$180,000",1,0,0,0,0,1,0,1
14297,6/11/2022,18 A Williams St,1,0,"$200,183",449,0,"$170,000","$170,000",0,0,0,1,0,0,1,1
14278,2/11/2022,18 Meeanee Rd,1,0,"$590,000",361,0,"$190,000","$200,000",-,0,0,0,0,0,1,0
14243,19/10/2022,65 Oak Rd,1,0,"$500,000",1039,0,"$345,000","$345,000",-,0,0,0,0,0,0,0
14242,19/10/2022,44 Aspiring Dr,1,0,"$490,000",625,0,"$325,000","$325,000",-,0,0,0,0,0,0,0
